URL handle,Title,Product category,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Price,Compare-at price,Weight value (grams),Height,Width,Depth,Inventory quantity,SKU,Barcode,Published on online store,Requires shipping,Description,Tags,SEO title,SEO description,Vendor,Type,Google Shopping / MPN,Google Shopping / Gender,Google Shopping / Age group,Cost per item,Status,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Charge tax,Tax code,Inventory tracker,Continue selling when out of stock,Fulfillment service,Product image URL,Google Shopping / Google product category
mousepad-personalizado-carpincho-32x32,Mousepad Personalizado carpincho 32x32,mousepads > serie classic > personalizados,,,,,,,"7,000.00",,0.4,6.0,40.0,6.0,260.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-violeta-82x32,Mousepad Personalizado violeta 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,32.0,6.0,501.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-arbol-florecido-82x32,Mousepad Personalizado Árbol florecido 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,32.0,6.0,502.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-the-veilguard-100x60,Mousepad Personalizado The Veilguard 100x60,mousepads > serie classic > personalizados,,,,,,,"29,000.00",,0.4,6.0,40.0,6.0,74.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-back-to-the-future-82x32,Mousepad Personalizado Back to the future 82x32,,,,,,,,"12,500.00",,0.4,6.0,40.0,6.0,5.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-nier-automata-82x32,Mousepad Personalizado Nier Automata 82x32,,,,,,,,"12,500.00",,0.4,6.0,40.0,6.0,5.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-faze-clan-con-rosas-mgm-pro-45x45,Mousepad Personalizado Faze Clan con Rosas | MGM Pro 45x45,mousepads > serie pro ,,,,,,,"23,000.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-rojo-115x36,Mousepad Personalizado rojo 115x36,mousepads > serie classic > personalizados,,,,,,,"16,500.00",,0.4,6.0,40.0,6.0,48.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-tanjiro-y-rengoku-82x32,Mousepad Personalizado Tanjiro y rengoku 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,32.0,6.0,502.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-mapa-de-tamriel-60x35,Mousepad Personalizado Mapa de Tamriel 60x35,mousepads > serie classic > personalizados,,,,,,,"9,000.00",,0.4,6.0,40.0,6.0,48.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-fall-49x43,Mousepad Personalizado fall 49x43,mousepads > serie classic > personalizados,,,,,,,"8,500.00",,0.4,6.0,40.0,6.0,48.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-t0m4s-barrabaja-cg-90x40,Mousepad Personalizado T0M4S barrabaja CG 90x40,mousepads > serie classic > personalizados,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,1931.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-ghoul-42x33,Mousepad Personalizado Ghoul 42x33,mousepads > serie classic > personalizados,,,,,,,"7,000.00",,0.4,6.0,40.0,6.0,47.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-limones-100x50,Mousepad Personalizado Limones 100x50,mousepads > serie classic > personalizados,,,,,,,"24,000.00",,0.4,6.0,40.0,6.0,48.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-gengitar-90x40,Mousepad Personalizado Gengitar 90x40,mousepads > serie classic > personalizados,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,1932.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-familia-60x60,Alfombra Para Piso | familia 60x60,Alfombra Double,,,,,,,"22,500.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-gengar-mgm-pro-50x45,Mousepad Personalizado gengar | MGM Pro 50x45,mousepads > serie pro ,,,,,,,"23,000.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-sperm-mgm-pro-65x50,Mousepad Personalizado SPERM | MGM Pro 65x50,mousepads > serie pro ,,,,,,,"32,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-pad-30x30,Mousepad Personalizado pad 30x30,mousepads > serie classic > personalizados,,,,,,,"5,500.00",,0.4,6.0,40.0,6.0,48.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-tanjiro-82x32,Mousepad Personalizado tanjiro 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,40.0,6.0,28.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-godines-82x32,Mousepad Personalizado Godines 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,40.0,6.0,28.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-mezmerizer-kasane-teto-x-hatsune-miku-mgm-pro-96x36,Mousepad Personalizado Mezmerizer Kasane Teto x Hatsune Miku | MGM Pro 96x36,mousepads > serie pro ,,,,,,,"37,000.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-fallen-angel-100x40,Mousepad Personalizado Fallen Angel 100x40,mousepads > serie classic > personalizados,,,,,,,"19,000.00",,0.4,6.0,40.0,6.0,1930.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-dragon-mgm-pro-50x50,Mousepad Personalizado dragon | MGM Pro 50x50,mousepads > serie pro ,,,,,,,"23,000.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-in-my-restless-dreams-60x35,Mousepad Personalizado In My Restless Dreams 60x35,"mousepads, playmats",,,,,,,"10,000.00",,0.4,6.0,40.0,6.0,61.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-michitos-con-ojitos-rosa-mgm-pro-plus,Mousepad Personalizado Michitos con ojitos rosa | MGM Pro plus,mousepads > serie pro ,Medida,Pro plus (90x40cm),,,,,"33,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
alfombra-para-piso-purple-liquid-100x70,Alfombra Para Piso | purple liquid 100x70,Alfombra Double,,,,,,,"45,000.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-frieren-100x60,Mousepad Personalizado Frieren 100x60,mousepads > serie classic > personalizados,,,,,,,"29,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-miles-morales-and-gwen-mgm-pro-45x40,Mousepad Personalizado Miles Morales and Gwen | MGM Pro 45x40,mousepads > serie pro ,,,,,,,"18,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-nerv-evangelion-90x40,Mousepad Personalizado NERV Evangelion 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,72.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-lonely-is-the-night-mgm-pro-60x25,Mousepad Personalizado Lonely is the night | MGM Pro 60x25,mousepads > serie pro ,,,,,,,"16,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-sakura-90x40,Mousepad Personalizado sakura 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-zoantero-mgm-pro-117x58,Mousepad Personalizado Zoantero | MGM Pro 117x58,mousepads > serie pro ,,,,,,,"68,000.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-t6-personalizado-115x50,Mousepad Personalizado T6 PERSONALIZADO 115x50,,,,,,,,"27,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-t6-personalizado-70x45,Mousepad Personalizado T6 PERSONALIZADO 70x45,,,,,,,,"13,500.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-bruno-v2-82x32,Mousepad Personalizado Bruno v2 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,32.0,6.0,501.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-kenzoo-82x32,Mousepad Personalizado kenzoo 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,32.0,6.0,502.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-yuki-90x40,Mousepad Personalizado yuki 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-berserk-90x402,Mousepad Personalizado Berserk 90x40,mousepads > serie classic > personalizados,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,1931.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-messi-65x50,Mousepad Personalizado Messi 65x50,mousepads > serie classic > personalizados,,,,,,,"14,500.00",,0.4,6.0,40.0,6.0,1931.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-sergio-moran-85x35,Mousepad Personalizado sergio morán 85x35,,,,,,,,"12,500.00",,0.4,6.0,40.0,6.0,72.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-curry-mgm-pro,Mousepad Personalizado curry | MGM Pro,mousepads > serie pro ,Medida,Pro (50x40cm),,,,,"18,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-a4b-skyhawk-90x40,Mousepad Personalizado a4b skyhawk 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-fran-mgm-pro-65x30,Mousepad Personalizado Fran | MGM Pro 65x30,mousepads > serie pro ,,,,,,,"19,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-garen-61x35,Mousepad Personalizado Garen 61x35,,,,,,,,"9,500.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-diego-82x32,Mousepad Personalizado diego 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,40.0,6.0,28.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-3dbat-impresiones-mgm-pro-90x45,Mousepad Personalizado 3DBAT IMPRESIONES | MGM Pro 90x45,mousepads > serie pro ,,,,,,,"42,000.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-ventana-140x60,Mousepad Personalizado Ventana 140x60,,,,,,,,"35,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-steven-universe-pink-cloud-mgm-pro-plus,Mousepad Personalizado Steven Universe Pink Cloud | MGM Pro plus,mousepads > serie pro ,Medida,Pro plus (90x40cm),,,,,"33,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-julian-alvarez-mousepad-90x40,Mousepad Personalizado Julian Alvarez Mousepad 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-meowtallica-25x25,Mousepad Personalizado Meowtallica 25x25,mousepads > serie classic > personalizados,,,,,,,"5,500.00",,0.3,6.0,25.0,6.0,41.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-calavera-agresiva-90x40,Mousepad Personalizado Calavera Agresiva 90x40,mousepads > serie classic > personalizados,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,1931.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-pad-luffy-mgm-pro-76x39,Mousepad Personalizado Pad Luffy | MGM Pro 76x39,mousepads > serie pro ,,,,,,,"29,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-hatsune-miku-and-kasane-teto-mgm-pro-80x36,Mousepad Personalizado Hatsune miku and Kasane Teto | MGM Pro 80x36,mousepads > serie pro ,,,,,,,"29,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-popipopipo-aidankrumek-25x25,Mousepad Personalizado popipopipo aidankrumek 25x25,mousepads > serie classic > personalizados,,,,,,,"5,500.00",,0.3,6.0,25.0,6.0,41.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-cara-de-hombre-65x40,Mousepad Personalizado Cara de hombre 65x40,,,,,,,,"12,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-rite-of-the-dragoncaller-mtg-mgm-pro-60x38,Mousepad Personalizado Rite of the Dragoncaller MTG | MGM Pro 60x38,mousepads > serie pro ,,,,,,,"22,000.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-postal-90x40,Mousepad Personalizado POSTAL 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-itachi-90x40,Mousepad Personalizado itachi 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,72.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-cowboy-bebop-82x32,Mousepad Personalizado Cowboy Bebop 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,40.0,6.0,27.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-coca-cola-cap-90x75-ed-limitada,Alfombra Para Piso | Coca-Cola cap 90x75 Ed. Limitada,Alfombra Double,,,,,,,"41,000.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
teclado-steelseries-apex-3-rgb-usb-ingles-mgm-imp,Teclado Steelseries Apex 3 RGB USB Inglés | MgM IMP,Importados > Teclados,,,,,,,"82,000.00","55,000.00",0.8,5.0,50.0,40.0,6.0,,,SI,NO,,"gamer, mecanico, mousepad, pro, setup, Teclado",,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-colorful-60x60,Alfombra Para Piso | Colorful 60x60,Alfombra Double,Color,Naranja,,,,,"22,500.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-colorful-60x60,,,Color,Verde,,,,,"22,500.00",,0.9,10.0,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alfombra-para-piso-colorful-60x60,,,Color,Azul,,,,,"22,500.00",,0.9,10.0,20.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouse-gamer-lamzu-thorn-52g-26000-dpi-inalambrico-atlantis-dongle-4k-blanco-mgm-imp,Mouse Gamer Lamzu Thorn 52G 26000 Dpi Inalámbrico + Atlantis Dongle 4K - Blanco | MgM IMP,Importados > Mouse,,,,,,,"145,000.00",,0.8,5.0,50.0,40.0,,,,SI,NO,,"gamer, mousepad, pro, vidrio",,,,SI,,,,,,,,,,,,,,,,,,
mouse-gamer-lamzu-maya-4k-inalambrico-negro-mgm-imp,Mouse Gamer Lamzu Maya 4K Inalámbrico - Negro | MgM IMP,Importados > Mouse,,,,,,,"162,000.00",,0.8,5.0,50.0,40.0,,,,SI,NO,,"gamer, mousepad, pro, vidrio",,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-gengar-black-60x60,Alfombra Para Piso | Gengar black 60x60,Alfombra Double,,,,,,,"22,500.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mouse-gamer-lamzu-maya-4k-inalambrico-cloud-grey-mgm-imp,Mouse Gamer Lamzu Maya 4K Inalámbrico - Cloud Grey | MgM IMP,Importados > Mouse,,,,,,,"162,000.00",,0.8,5.0,50.0,40.0,,,,SI,NO,,"gamer, mousepad, pro, vidrio",,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-grumpy-cat-60x60,Alfombra Para Piso | Grumpy cat 60x60,Alfombra Double,,,,,,,"22,500.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-vinilo-80x80,Alfombra Para Piso | Vinilo 80x80,Alfombra Double,,,,,,,"41,000.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-bola-8-50x50,Alfombra Para Piso | Bola 8 50x50,Alfombra Double,,,,,,,"15,500.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-two-cats-55x55,Alfombra Para Piso | Two Cats 55x55,Alfombra Double,,,,,,,"16,500.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mouse-gamer-inalambrico-magnesium-wlmouse-ergo-sword-x-8k-omron-opticals-mgm-imp,Mouse Gamer Inalámbrico Magnesium Wlmouse Ergo Sword X 8K Omron Opticals | MgM IMP,Importados > Mouse,Color,Violeta,,,,,"182,000.00",,0.8,5.0,50.0,40.0,,,,SI,NO,,"gamer, mousepad, pro, vidrio",,,,SI,,,,,,,,,,,,,,,,,,
mouse-gamer-inalambrico-magnesium-wlmouse-ergo-sword-x-8k-omron-opticals-mgm-imp,,,Color,Negro,,,,,"182,000.00",,0.8,5.0,50.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouse-gamer-inalambrico-magnesium-wlmouse-ergo-sword-x-8k-omron-opticals-mgm-imp,,,Color,Plata,,,,,"182,000.00",,0.8,5.0,50.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouse-gamer-inalambrico-magnesium-wlmouse-ergo-sword-x-8k-omron-opticals-mgm-imp,,,Color,Rosa,,,,,"182,000.00",,0.8,5.0,50.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wlmouse-beast-x-max-magnesium-inalambrico-metallic-silver-mgm-imp,WLMOUSE Beast X Max Magnesium Inalámbrico Metallic Silver | MgM IMP,Importados > Mouse,,,,,,,"295,000.00",,0.8,5.0,50.0,40.0,5.0,,,SI,NO,,"gamer, mousepad, pro, vidrio",,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-koi-negro-90x40,Mousepad Personalizado Koi Negro 90x40,,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,72.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
alfombra-para-piso-trampa-frost-r6-70x50,Alfombra Para Piso | Trampa frost R6 70x50,Alfombra Double,,,,,,,"22,000.00",,0.9,10.0,20.0,100.0,,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-snoopy-oceano-59x29,Mousepad Personalizado Snoopy Oceano 59x29,mousepads > serie classic > personalizados,,,,,,,"8,500.00",,0.4,6.0,40.0,6.0,1932.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-ciclo-de-vida-de-una-rata-65x30,Mousepad Personalizado Ciclo de vida de una rata 65x30,mousepads > serie classic > personalizados,,,,,,,"9,000.00",,0.4,6.0,40.0,6.0,1931.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-barbie-mgm-pro-plus,Mousepad Personalizado Barbie | MGM Pro plus,mousepads > serie pro ,Medida,Pro plus (90x40cm),,,,,"33,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-eva01-90x60,Mousepad Personalizado eva01 90x60,,,,,,,,"26,000.00",,0.4,6.0,40.0,6.0,72.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-solo-leveling-mgm-pro-plus1,Mousepad Personalizado Solo Leveling | MGM Pro plus,mousepads > serie pro ,Medida,Pro plus (90x40cm),,,,,"33,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-fondo-negro-mgm-pro-59x27,Mousepad Personalizado Fondo negro | MGM Pro 59x27,mousepads > serie pro ,Medida,Pro plus (90x40cm),,,,,"16,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
mousepad-personalizado-sharingan-serie-naruto-100x45,Mousepad Personalizado Sharingan Serie Naruto 100x45,mousepads > serie classic > personalizados,,,,,,,"19,500.00",,0.4,6.0,40.0,6.0,48.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-olas-abstractas-azules-mgm-pro-plus,Mousepad Personalizado OLAS ABSTRACTAS AZULES | MGM Pro plus,mousepads > serie pro ,,,,,,,"33,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
